單字,中文,例句,中例,同義,反義
metropolitan,adj.大都會的；大城市的；宗主國的；大主教教區的； n.大城市人；大主教；宗主國的公民；有大城市氣派的人； ,We hope to offer an illumination contemporary international is metropolitan the platform of concept and experience.,我們希望提供一個闡釋現代國際大都市理念與經驗的平台.,occupier;resident;occupant;,nonresident;civilian;migratory;
migration,n.遷移，移居； ,"At present, business migration and skilled migration is a major migration trends.",目前，商業移民和技術移民是移民的主要趨勢。,emigration;immigration;in-migration;,closing;opening;retreat;
militant,adj.鬥志昂揚的，富於戰鬥性的；激進的，好戰的；戰鬥中的，交戰中的；好斗者； n.激進分子，好斗分子；富有戰鬥精神的人，鬥士； ,"Last week, the military objected to language suggesting that It'supported militant militant groups.",上周，軍隊反對了該法案，認為該法案的措辭支持了極端組織。,competitive;aggressive;,unaggressive;passive;conservative;
miller,n.（尤指麵粉廠的）廠主；磨房主；碾磨工；[昆]蛾； ,Rabin-Miller test and the Baillie-PSW probable prime test are primality tests the most used in practice.,人們目前普遍使用的是理論簡單，演算法易於實現且速度快的Rabin-Miller概率素性測試和Baillie-PSW概率素性測試。,craftsman;journeyman;artisan;,
mimic,n.巧于模仿的人；複寫品或仿製品；摹擬笑劇的演員； vt.模仿，學樣；摹擬；[生]擬形，擬色； adj.模仿的，摹擬的；[生]擬態的；假裝的； ,Susan Tyler: They mimic us. We mimic them.,他們演變成我們，我們演變成他們。,imitative;,nonimitative;natural;
miniature,adj.小型的，微小的； n.微型複製品；微小模型；微型畫；微型人像畫； vt.使成小型；把…畫成纖細畫；縮寫； ,Intensive experience (Minimum 2 years) in miniature flange bearing production and miniature stainless steel bearing industry.,2年以上微型法蘭和微型不鏽鋼軸承生產經驗。,copy;toy;,dark;tall;high;
missionary,n.傳教士；宣傳者； adj.傳教（士）的； ,The two missionary sisters have received their missionary crosses from the archbishop.,那兩位傳教士姊妹已經接受了大主教授予她們的教會十字架.,St. Cyril;Saint Cyril;Cyril;,nonreligious person;
modernization,n.現代化，現代化的事物； ,"By modernization we mean socialist modernization, but what those people advocate is modernization without socialism.","我們腦子裡的四化是社會主義的四化.他們只講四化,不講社會主義.",improvement;modernisation;,decline;antitype;
mold,n.模子；模式；類型；霉； vt.塑造；澆鑄；用模子做；用泥土覆蓋； vi.對…產生影響，形成；發霉； ,"The upper mold is aluminum mold, the lower mold is air chamber mold.",下模具為鋁模，上模具為氣囊模。,forge;work;form;,deregulate;disassemble;dissuade;
momentum,n.[物]動量；勢頭；動力；要素，契機； ,Angular momentum has two key components: spin angular momentum and orbital angular momentum.,角動量有兩個分量：自旋角動量和軌道角動量。,force;strength;impulse;,centrifugal force;attraction;centripetal force;
monopoly,n.壟斷；專賣；壟斷者；專利品； ,"This monopoly capital, combined with state power, has become state-monopoly capitalism.",這個壟斷資本，和國家政權結合在一起，成為國家壟斷資本主義。,corner;market;marketplace;,unrestraint;unskillfulness;
monotony,n.單調乏味，無聊； ,I work with monotony.,我工作很單調。,unvariedness;humdrum;sameness;,variedness;exciting;lively;
morale,n.士氣；精神面貌； ,You complain that morale is low.,"你抱怨說,員工士氣低落.",team spirit;esprit de corps;disposition;,optimism;unpermissiveness;unfriendliness;
morality,n.道德；道德準則；品德高尚的行為；道德觀； ,"Chinas traditional official morality has brand of feudal society, its morality service ruling class.",中華傳統官德思想是打著封建社會的烙印的，其道德是服務於統治階級的。,immoral;impure;conscience;,unrighteousness;moral;immoral;
motto,n.座右銘；格言；箴言；主題句； ,New Jersey: You Want A Motto? I Got Yer Motto Right Here!,新澤西州：你們想要一個很那個的座右銘是嗎？好吧，這就是我給你們找的很那個的座右銘！,war cry;cry;expression;,laugh;euphemism;dysphemism;
mouthpiece,n.喉舌；樂器的吹口；電話話筒；代言人； ,"They would breathe it as a powder into their lungs, through a mouthpiece device.",他們可以通過一種吹口裝置將胰島素粉末吸入肺部.,acoustic device;telephone;telephone set;,specify;whisper;shout;
mute,adj.緘默的；啞的；無聲的；（字母）不發音的； n.啞巴；（樂器上的）弱音器； vt.減輕（聲音）；使…柔和； ,MUTE UNIt'sPEECH Mute all non-trigger unIt'sounds for current player.,將玩家一定數量的單位由一個特定區域移動到另一個特定區域。,unspoken;wordless;unarticulate;,articulate;animated;polished;
mythology,n.神話學；神話（總稱）；虛構的事實；錯誤的觀點； ,Greek Mythology Roman Mythology Of or relating to Bacchus.,巴克斯酒神的或與之相關的.,aggregation;classical mythology;collection;,defense;decrease;decrement;
narrative,n.記敘文；故事；敘述，記事；敘述手法； adj.敘述的，敘事體的；善於敘述的； ,"What is more important, tourists' photography is to accomplish! self-narrative"" and! self-identity.""",更重要的是，旅遊者拍攝照片更是為了完成「自我敘述」(self-narrative)與「自我認同」(self-identity)。,fairytale;folk tale;subject matter;,belief;unbelief;discontented;
narrator,n.（故事的）講述者，（戲劇、電影等的）解說員； ,NARRATOR: The millions that could not lost everything.,旁白：數百萬人再也不能失去任何東西。,raconteur;speaker;storyteller;,square shooter;
nationalism,n.愛國主義，愛國心；民族主義；國家主義；民族特性； ,The word & quot ; nationalism & quot ; is used in at least two distinct senses.,單詞「 nationalism 」在使用時至少有兩個截然不同的含義.,jingoism;ultranationalism;Americanism;,disloyalty;infidelity;disloyal;
naturalist,n.自然主義者；博物學者；<英>買賣玩賞動物的商人；動物標本剝制師； adj.自然的（等於naturalistic）；自然主義的；博物學的； ,Naturalist is an unfinished story and increasingly thoughtful love affair with life itself: all life.,這本傳記是一則並未完成的故事，這場與生命心動邂逅的傳奇還要不斷延續下去。,life scientist;natural scientist;biologist;,necessitarian;libertarian;
navel,n.臍，肚臍；中央，中心； ,"Then, she should insert her fingers into your anus and feel upwards, toward your navel.",然後，把手指伸進你的肛門並朝肚臍方向向上觸摸。,point;bellybutton;omphalus;,node;antinode;middle;
navigation,n.航行（學）；航海（術）；海上交通； ,"The Yangtze River bridges of Shanghai include navigation channel, navigation channel and non-navigation channel.",上海長江大橋包括主、輔通航孔橋和非通航孔橋。,piloting;steering;guidance;,studio;idle;inactivity;
negotiation,n.協商，談判；轉讓；通過； ,"We offer the formal description of negotiation protocol, negotiation strategies and the decision model for negotiation.",這裡主要討論了協商協議的規範化描述，協商策略的表示和規劃，以及協商中的建模問題。,give-and-take;parley;diplomacy;,folly;categorem;synonym;
neon,n.<化>氖；霓虹燈； ,"This , in turn , has led Neon to file a lawsuit against IBM.",這又導師了Neon將IBM告 上法庭.,air;Ne;inert gas;,wet;software;curve;
neutral,adj.中立的；（化學中）中性的；暗淡的；不帶電的； n.（汽車或其他機器的）空擋位置；中立人士；中立國；素凈色； ,Non - ground neutral system and arc - suppression - coil - ground neutral system are called non - direct ground neutral system.,"中性點不接地系統和中性點經消弧線圈接地系統統稱為中性點不直接接地系統,廣泛應用於鐵路配電系統中.",impersonal;objective;nonsubjective;,subjective;young;discolor;
newlywed,n.新婚的人； ,My newlywed wife and I are deeply in love.,我和我的新婚妻子彼此深愛著對方。,mate;partner;groom;,disjoin;husband;wife;
newscaster,n.（電台或電視的）新聞播音員； ,John: Did you every try being a newscaster?,約翰: 你曾試著做過新聞播音員 嗎 ?,news reader;newsreader;announcer;,
nomination,n.任命；提名；被提名； ,Nomination must be accepted by the nominee and this nomination form must be by the nominee.,獲提名人士必須同意參選並於提名表格上籤署.,assignment;designation;appointment;,connotative;abnormality;guilt;
nominee,n.被提名者，候選人；被任命者；代名人； ,Barack Obama has long been his party's presumptive nominee. Now he's becoming its presumptuous nominee.,巴拉克。奧巴馬曾經一直是民主黨的預定的總統候選人人選，而現在他已經成為既定總統了。,politico;write-in;favorite son;,follower;
norm,n.標準；規範；準則；（勞動）定額； ,Norm approach for role assignation in grid workflow.,網格工作流中角色分配的Norm方法。,standard;touchstone;measure;,estimable;rich;unskilled;
nourishment,n.食物；滋養品，營養品；「nourish」的派生； ,"Contain abundant vitamin, amino acids, begonia grass, bone collagen etc. nourishment composition.",含豐富維生 、 氨基酸 、 海棠草 、 骨膠原蛋白等營養成份.,treat;fast food;mince;,order;tactlessness;inelegance;
nuisance,n.討厭的東西（人，行為）麻煩事；非法妨害，損害；麻煩事； ,What we call progress is the exchange of one nuisance for another nuisance.,"我們所謂的進步,無非是以一麻煩換上另一麻煩罷了.",public nuisance;pain in the ass;bother;,please;calm;pleasure;
nurture,vt.養育；培育；滋養；培植； n.教養，培育；營養物，食物；環境因素； ,"You're right, that's excessive. I favor nurture in the nature - nurture issue.","你 說 得對, 這的確太離譜了. 先天與後天相比,我更傾向於後者.",serve;foster;patronize;,discourage;biological;boycott;
nutrient,n.營養物，營養品，養分，養料；滋養物； ,This is a nutrient-manager the nutrient manager for rice.,歡迎來電，這裡是水稻營養管家。,vitellus;soul food;foodstuff;,indigestible;unpalatable;undrinkable;
nutrition,n.營養，滋養；營養品；營養學；食物； ,Enteral nutrition; Pareteral nutrition; Severe cerebral infarction; Nutrition support.,胃腸道營養；胃腸外營養；重症腦梗死；營養支持。,biological process;organic process;,largeness;bigness;strength;
obligation,n.義務，責任；證券，契約；債務；恩惠； ,"The trustee undertakes to trust the obligation to the client, including faithful obligation and attention obligation.",受托人對委託人承擔信賴義務，包括忠實義務和注意義務。,moral obligation;keeping;guardianship;,nonconformity;noncompliance;denationalization;
offering,n.提議；課程；貢品，祭品；奉獻物； v.提供(offer的ing形式)； ,This refers to a public offering subsequent to an initial public offering.,指在首次發行之後的再次公開發行股票。,subject matter;proposition;contract offer;,universal;particular;activator;
offspring,n.後代，子孫；產物，結果；（動物的）崽；幼苗； ,Adult offspring have the obligation to provide for their parents.,成年子女對父母有贍養扶助的義務。,by-blow;progeny;eldest;,parent;adult;female offspring;
opposition,n.（強烈的）反對，敵對；（政府的）反對黨，在野黨；對抗，抵抗；相對，對照； adj.反對的，對抗的； ,The Government clashed with the Opposition / The Government and the Opposition clashed on the question of unemployment.,政府與反對黨在失業問題上有重大分歧.,reaction;action;anti-takeover defense;,positiveness;negativity;negativeness;
oppression,n.壓迫；被壓迫的狀態；壓迫物；沉悶，苦惱； ,"Later, out of fear of the oppression of this love, I finally left school.",後來又為了愛的脅迫，使我害怕得離開了我的學校。,persecution;subjugation;,ease;natural object;lightness;
option,n.選擇（的自由）；選項；選擇權；選擇能力； vt.得到或獲准進行選擇；調動球員； ,Press OPTION and select ROUTING to prepare separate bill for Travel Agent.,打開Option菜單，按Routing鍵來做旅行社的房租分單。,derivative;covered option;naked option;,put option;call option;inactivity;
ordeal,n.嚴峻的考驗；苦難的經驗；折磨；神判法； ,"The house was an ordeal for visiting children, who were always getting lost.",這所房子對於來參觀的經常迷路的孩子們來說是一次嚴峻的考驗。,experience;,suffer;enjoy;
orderly,adj.整齊的，有秩序的；有組織的，有規則的；[軍]值班的；安靜的； n.[軍]傳令下士；傳令兵；<英>街道清潔工； adv.依次地，順序地；有規則地；有條理地； ,"Loading modules orderly according to the modules dependence, modules run well.",對構建的模塊按照層疊順序載入，模塊運行良好。,soldier;tender;attender;,strong;hard;old;
organism,n.有機體；生物體；微生物；有機體系，有機組織； ,"The haploid organism's germ cells then combine with another haploid organism's cells, creating the zygote.",單倍體生物體的生殖細胞然後與另一個單倍體生物體的細胞融合，形成合子。,commensal;body part;somebody;,sitter;stander;parasite;
originality,n.獨創性，創造性；匠心；獨到之處；新穎； ,What can easily be seen in his poems are his imaginary and originality power and range.,"他的詩形象生動,別具一格,氣勢磅?,題材廣泛,這是顯而易見的.",novelty;innovativeness;power;,inability;conventionality;secondary;
outbreak,n.（戰爭，怒氣等的）爆發；突然發生； vi.爆發； ,"This outbreak could peter out, like a 1976 swine flu outbreak did.","這次的爆發可以逐漸消失, 就像1976年的豬流感爆發一樣.",eruption;natural event;irruption;,inactivity;inaction;inactiveness;
outfit,n.全套裝備；一套服裝；集體；組織； vt.裝備；配置設備；供給服裝； vi.得到裝備； ,It's my favorite outfit and it's a very light outfit.,它是我最喜歡的衣服之一，而且它也是一套非常輕便的衣服。,social unit;unit;,nonstandard;underdress;overdress;
outing,n.遠足，郊遊，短途旅行；散步； v.伸出( out的現在分詞)；揭露； ,We to go for an outing tomorrow morning.,我們打算明天早晨去郊遊。,jaunt;journeying;excursion;,ride;stand still;
outlaw,n.歹徒，亡命之徒；逃犯；被剝奪法律保護者，喪失公權者；烈馬； vt.宣布…為不合法；將…放逐；剝奪…的法律保護； ,It is not enough to wait patiently until enough people oppose slavery to outlaw it.,"耐心等待,直到有足夠多的人反對奴隸制,最終在法律上取締它,這樣做是不夠的.",illegalise;interdict;ban;,permit;decriminalise;decriminalize;
outlet,n.出口，出路；批發商店；排水口，通風口；發泄（情感）的方法； ,"I opened a bottle as a central outlet, outlet connected to a water valve.",瓶身中央開一個口作為出水口，出水口接上一個出水單向閥。,country store;discount house;wholesale house;,left;volatile storage;software;
outlook,n.前景，展望；觀點，見解；景色；眺望處； v.瞪著看，瞧；比…漂亮；用目光壓倒； ,Imports mail and address books from Outlook '97 or Outlook '98.,從outlook'97或outlook'98導入郵件和通訊錄.,mindset;mind-set;attitude;,pessimism;despair;certainty;
outrage,n.義憤；憤慨；暴行；駭人聽聞的事件； vt.引起…的義憤，激怒；凌辱，強姦；虐待，迫害；違反； ,Is there no way out of this dreary cycle of excess and outrage?,難道沒有辦法擺脫這種無節制和憤怒的循環嗎？,offend;appall;sicken;,disenchant;displease;conform to;
outset,n.開始，開端； ,Outset (Outset): The folded section or item of promotional material wrapped round the host section.,包帖：包著主帖的書帖或宣傳材料。,point;first;offset;,middle;end;death;
overhead,adj.上面的，高架的；頭頂上的；（費用等）經常的，管理的； n.天花板；管理費用，經常費用；船艙的頂板；[體]（網球等的）扣殺； adv.在頭頂上；在空中；在樓上；向上； ,Overhead variances may be usefully considered as variable overhead variances and fixed overhead variances.,我們可以把管理費用分為可變費用和固定費用兩種.,expense;disbursal;budget items;,outgo;take;disappearance;
overlap,n.重疊部分；覆蓋物，塗蓋層；[數]交疊，相交； vt.重疊；與…部分相同； vi.互搭，重疊；部分相同；[數]有與…共同的某物； ,Lots of overlap when shooting panoramas. You should try for 50 % overlap on average between photos.,"當拍攝全景照片的時候,進行更多的重疊拍攝. 你最好能在兩張照片之間拍攝50%的重疊部分.",coincide;share;cooccur;,shorten;unstrain;relax;
overturn,vt.& vi.（使）翻倒； vt.使垮台，推翻；撤銷（判決等）； n.推翻，垮台；瓦解；滅亡，毀滅； ,We have been opressed by the Three Mountains for years and we overturn it at last.,我們過去被三座大山壓迫了幾十年，今天終於把它推倒了。,turn over;turtle;tip over;,calm;organized;untroubled;
pact,n.條約，公約；公約； ,This was a pact! This was your pact!,這是一個約定! 這是你們的約定!,peace;written agreement;convention;,war;disorder;insecurity;
pamphlet,n.小冊子；活頁文選； ,"Franklin wrote a pamphlet on the ""NewInvented Pennsylvanian Fire Place"".",富蘭克林寫了一本小冊子，論述「新發明的賓夕法尼亞火爐」。,leaflet;book;brochure;,outfield;
parliament,n.議會，國會； ,The Samajwadi Party controls 39 members of parliament in the 543 lower house of parliament.,印度社會黨在由543人組成的議會下院佔有39席。,general assembly;legislative assembly;British Parliament;,
pedestrian,n.步行者；行人； adj.徒步的；平淡無奇的；一般的； ,"Crossroads vehicle comb , pedestrian Xi Rang , turn to be all right lane, person pedestrian says, methodically.","十字路口車輛穿梭, 行人熙攘, 車行車道, 人行人道, 有條不紊.",earthbound;prosaic;prosy;,interesting;citizen;settled;
peninsula,n.半島；[史]伊比利亞半島，（第一次世界大戰中指）加利波利半島；（第一次世界大戰中指）加利波利半島； ,"The Iberian Peninsula, the Italian Peninsula, and the Balkan Peninsula are three large peninsulas in Europe.",伊比利亞半島、義大利半島及巴爾幹半島是歐洲最大的三個半島。,terra firma;ground;land;,disconnect;unfasten;figure;
pension,n.退休金，養老金；膳宿費；生活津貼；寄宿學校； vt.發給…養老金[退休金]；准予退休，強迫退休（併發給退休金）； ,Pension funds in employees ? ? personal pension fund accounts.,勞工個人專戶之退休金.,old-age pension;superannuation;retirement check;,newness;nonpayment;deny;
perception,n.知覺；覺察（力）；觀念；（農作物的）收穫； ,"In aesthetic perception, the perception of visual perception and auditory perception are the two most important.",在審美感知中，視知覺和聽知覺是兩種最主要的感知。,perceptual experience;visual image;representation;,ground;figure;liking;
perseverance,n.毅力 ；韌性；不屈不撓的精神； ,"High school exam required perseverance, asas there is perseverance, you will be able to enter.",考高中需要有恆心，只要有恆心，你一定能考上。,persistency;doggedness;persistence;,uselessness;nonfunctional;inutility;
persistence,n.堅持不懈；執意；持續；留存，（螢光屏上餘輝的）保留時間； ,Use this persistence command register a workflow service host as lock owner in the persistence database.,"一個持久性命令,該命令通過使用與工作流實例關聯的實例鍵來載入該實例.",lastingness;continuous;uninterrupted;,discontinuous;strong;weak part;
perspective,n.透鏡，望遠鏡；觀點，看法；遠景，景色；洞察力； adj.（按照）透視畫法的；透視的； ,Self-knowledge in this case a perspective on the entire triad.,在這重意義上，自我認識成了透視[自己、世界和上帝]這個三元體系(triad)的一個視角(perspective)。,vanguard;bird's eye view;futurism;,unbelief;put option;call option;
pesticide,n.殺蟲劑，農藥； ,Pesticide applicator should put on protective gears including face mask and rubber gloves during pesticide application.,施用除害劑的人員在施用除害劑時，須穿戴保護衣物（包括面罩和膠手套）。,phosphine;scabicide;sheep dip;,uncover;
petroleum,n.石油； ,"China should actively participate in international petroleum competition, establish petroleum-storage strategy, petroleum-exploitation strategy, petro.",中國應主動參與國際石油競爭，建立石油儲備戰略、石油開發戰略、石油技術戰略和石油運輸戰略。,crude oil;residual oil;C;,decent;conditional;late;
pharmacist,n.藥劑師； ,"The pharmacist replied ""Well, you know maths always was a little hard to swallow.""",藥劑師回答說：「這個嘛，你知道數學總是很難下咽的。,health professional;health care provider;apothecary;,juvenile;
pharmacy,n.藥房；配藥學，藥學；製藥業；一批備用藥品； ,The moment to repeat Pharmacy had come.,重溫Pharmacy舊日美夢的時刻已然來臨.,chemist's;drugstore;pharmacopoeia;,boycott;sell;volatile storage;
phase,n.相，周相；階段；[物理學]相位；方面，側面； vt.分階段實行；調整相位； vi.分階段進行； ,"The development process of ERP includes basic MRP phase, close-loop phase, MRP phase, and ERP phase.",ERP的發展經歷了基本MRP階段、閉環MRP階段、MRP階段和ERP階段。,oral stage;secretory phase;latency stage;,beginning;sharpness;roundness;
piety,n.虔誠，虔敬； ,Aftertime the Confucianists filial piety is a Original decree leave from xian qin ′filial piety.,後世儒家孝道觀的發展是對先秦儒家孝道原旨的疏離。,impious;pious;dutifulness;,unrighteousness;pious;impious;
pipeline,n.管道；輸油管道；渠道，傳遞途徑； vt.（通過管道）運輸，傳遞；為…安裝管道； ,"Corrosion inspection is an effect way of obtaining pipeline information, a base of pipeline safety assessment.","管道腐蝕檢測是獲取管道信息的最有效手段, 也是對管道安全評價的基礎.",comment;grapevine;gossip;,nonconformity;noncompliance;empty;
pitcher,n.大水罐；投擲的人； ,The pitcher stands on the pitcher's mound. The hitter stands at the home plate.,投手站在投手區的平台上. 擊球員站在本壘板旁邊.,fireman;lefty;thrower;,upper-class;subordinate;marginality;
plight,n.境況，困境；誓約； vt.保證，約定； ,Surplus countries are simply stupefied by their plight. They should not be.,"而勤儉節約的國家卻是在困境中感到無可奈何, 他們本不應該如此.",difficulty;corner;quandary;,disorganise;disorganize;injudiciousness;
pneumonia,n.[醫]肺炎；急性肺炎； ,"The reviewers assessed various endpoints including any pneumonia, serious pneumonia, pneumonia - related rate, and overall rate.","評論者評價了不同的終點,包括所有的肺炎, 嚴重肺炎, 肺炎相關死亡率以及總體死亡率.",bronchopneumonia;lobar pneumonia;pneumocytosis;,
poacher,n.偷獵者；偷獵者成了獵物保護人；侵入他人地界者；煮蛋用的鍋； ,P15 Goal Poacher A predatory striker who plays off the shoulders of the last defender.,偷獵者-嗅覺靈敏，嘗試撕開最後層防線的捕食型前鋒，代表人物：托雷斯、吉拉迪諾。,appropriator;,soft-finned fish;
pollutant,n.污染物； ,Arsenic is widely distributed in nature and also an important environmental pollutant.,砷廣泛分佈于自然界，而且是一種重要的環境污染物。,waste matter;sulphur dioxide;sulfur dioxide;,underspend;inactivity;recuperate;
posture,n.姿勢；看法； 態度；立場； vt.做出某種姿勢； ,"Such single-function applications have a posture of their own, the transient posture.",並且不應該表現出獨佔式的行為，這樣單一功能的應用有其自己的暫時姿態。,ectopia;pose;stance;,unerect;erect;unaffectedness;
precedent,n.前例；先例； adj.在前的，在先的； ,The idea that the inflation genie can be painlessly rebottled has no historic precedent.,馴服通脹的魔鬼，而又要讓實體經濟毫髮無傷——至少歷史上沒有過這樣的先例。,case in point;illustration;representative;,atypical;undemocratic;contract;
precision,n.精確度，準確（性）；[語]精確； adj.精確的，準確的，細緻的；嚴守標準的；行動精確的； ,"Host used precision - screw, precision inlay just V - rails, high - precision mechanical transmission, processing machine with multiple functions taper.","主機採用精密珠絲杠, 精密鑲剛V型導軌 、 機械傳動精密度高, 機床具有多種錐度加工功能.",exactitude;preciseness;exactness;,inexactness;imprecision;impreciseness;
predecessor,n.前任，前輩；原有事物，前身；<古>祖先； ,Why would you choose to set the same Annual Programs Fund goal as that of predecessor?,你為何選擇設定與前任相同的年度計劃基金目標？,precursor;forerunner;forefather;,contraindication;descendant;
prediction,n.[氣]預測，預報；預言；預言的事物； ,Predrilling reservoir quality prediction includes porosity prediction and permeability prediction.,儲層質量鑽前預測包括儲層孔隙度預測和滲透率預測.,anticipation;vaticination;adumbration;,falsehood;truth;overstatement;
preface,n.序言，引語；開端，前奏；[宗]（彌撒的）序誦，序禱； vi.&vt.作為…的序言，作為…的開端；作序；給…作序；開始，導致； ,This thesis includes a preface and two chapters preface.,本論文包括前言和正文二章.,prolusion;foreword;text;,devoice;voice;lack;
prejudice,n.成見，偏見，歧視；侵害；傷害； vt.使有偏見；不利於，損害； ,"You shall do nothing in a passion, nothing to my prejudice, or to your mother's prejudice.",你不要在盛怒之下做出什麼事來，損傷到我或者你的母親。,racism;partisanship;taboo;,impartiality;fairness;permissible;
preliminary,adj.初步的，初級的；預備的；開端的；序言的； n.準備工作；預賽；初步措施；（對學生等的）預考； ,Develop Preliminary Project Scope Statement preliminary project scope statement that provides a high-level scope narrative.,2制定項目初步範圍說明書-制定項目初步範圍說明書，概括地說明項目的範圍。,exploratory;explorative;,nonexploratory;ending;sink;
premier,n.總理；首相； adj.第一的，首位的；首要的；最先的；最早的； ,"Premier! Premier, we know your heart deeply, every moment you about us.",總理啊！總理，我們深深懂得你的心，每一刻你都把我們惦念。,prime;first;,last;unmake;refrain;
prescription,n.[醫]藥方，處方；處方葯；訓令，指示；法規； ,The State adopts a system of classified management for prescription and non-prescription drugs.,國家對藥品實行處方葯與非處方葯分類管理制度。,instruction;direction;,over-the-counter medicine;over-the-counter drug;prescription drug;
presidency,n.總統；總統的任期；管轄；支配； ,But no woman has been elected either to the Presidency or Vice - presidency.,但目前還沒有婦女當選總統或副總統.,incumbency;presidential term;tenure;,e-mail;email;deglycerolize;
prestige,n.威信，威望，聲望；聲譽；（財勢的）顯赫；信望； ,"Prestige First, Quality First, Efficiency First and Service First.","例13:信譽第一, 質量第一, 效率第一,服務第一.",prestigiousness;standing;,prominence;obscurity;dishonor;
preventive,n.預防；防止；預防措施；預防葯； adj.預防的；防止的； ,Preventive action. Does the organization take preventive action based on data and information? Is it effective?,l預防措施。組織進行預防措施是基於數據和信息嗎？是否有效？,healthful;preventative;prophylactic;,unhealthful;unwind;uncoil;
productivity,n.生產率，生產力；[經濟學] 生產率；[生態學]生產率； ,Social productivity system included productivity of science and technology and corporeal productivity two stature systems.,社會生產力系統包括了科技生產力和物質生產力兩個子系統.,fecundity;fruitfulness;productiveness;,fruitlessness;unproductiveness;infertility;
proficiency,n.熟練，精通，嫻熟； ,Weapon and Armor Proficiency: Pyrokineticists gain no proficiency in any weapon or armor.,擅長武器與防具: 超念者不會獲得任何武器或防具擅長.,competence;competency;,incompetence;incoordination;disfluency;
progressive,adj.不斷前進的；進步的；進行的； n.改革論者；進步分子； ,Crescentic glomerulonephritis is known as rapidly progressive glomerulonephritis (RPGN) because this disease is very progressive.,因為展迅速，新月體性腎小球腎炎也稱作快速進行性腎小球腎炎。,reform-minded;liberal;reformist;,conservative;light-duty;timid;
prohibition,n.禁令，禁律；〈美〉禁酒，[美史]禁酒時期；[法]訴訟中止令； ,Prohibition is an important means of protecting commercial secrets.,競業禁止是保護商業秘密的重要手段。,law;,legalize;upgrade;
projection,n.預測；規劃，設計；[心]投射；突起物； ,"After analysis and discussion on case of the projection, the Design achievement of projection is using.","論文通過工程實例進行了設計分析探討, 相關設計成果對類似工程具有一定的參考價值.",prevision;anticipation;prediction;,unstuff;empty;lack;
propaganda,n.宣傳，宣傳運動； ,The propaganda of colleges and universities is a component part of Partys propaganda.,高校新聞宣傳工作是黨的宣傳思想工作的一個有機組成部分。,info;information;agitprop;,
propeller,n.螺旋槳，推進器；=propellor； ,The propeller discrete noise is main part of the vessel noise with non-cavitating propeller.,在螺旋槳處於非空泡狀態時，離散譜雜訊是艦艇輻射雜訊的主要成分之一。,propellor;airplane propeller;prop;,unscrew;rotor;
prose,n.散文；單調，平凡；枯燥無味的話，無聊的議論； vt.用散文寫，把…改寫成散文；平淡無趣地寫；??唆唆地講； ,Parallel prose of Song Dynasty is technical term for the finalizing style of parallel prose.,宋四六是駢文在宋代進一步定型化后所獲得的專稱.,euphuism;genre;interior monologue;,unconsciousness;terseness;verboseness;
prosecution,n.控告，起訴，檢舉；原告及其律師的總稱；實施，實行，執行，貫徹，營業；從事； ,Postponement of prosecution is a special type of such non - prosecution system.,暫緩起訴是這種酌定不起訴制度的一種特殊形式.,trial;criminal prosecution;legal action;,defense;activation;stabilisation;
provincial,adj.省的，州的；領地的；地方的，鄉下的；粗野的，鄙俗的； n.<貶>首都以外的人，地區居民；外地人；粗野的人；（管轄教區的）大主教； ,"In charge of Provincial Department, Provincial and Technology Department, Provincial Intellectual Property Office.",分管省教育廳 、 省科技廳 、 省知識產權局.,pokey;unsophisticated;bumpkinly;,cosmopolitan;fast;sophisticated;
prowl,vi.小心翼翼地移動；徘徊； vt.（動物）潛行（為捕獵等）；潛行（圖謀不軌等）；（因無聊、焦躁等）徘徊； n.（動物）悄然潛行（以覓食）；人)（人為抓捕或行竊等）悄悄巡行以尋找； ,"You bring darkness, it becomes night, and all the beasts of the forest prowl.","你造黑暗為夜, 林中的百獸就都爬出來.",walk;,ride;rush;
purity,n.[化學]純度；純潔，純凈；清潔，清白，清廉；（語言）純正； ,High purity-fusion magnesia brick is manufactured by using electro-fused high-purity high-density magnesia grains as material.,高純電熔鎂磚是以高緻密電熔鎂砂為原料製成，具有化學穩定性好，高溫強度大等特點。,impure;status;plainness;,impurity;impure;pure;
qualification,n.資格，授權；條件，限制；合格證書； n.資格；限制；學歷； ,"Qualification can concern persons, products, processes or systems. EXAMPLE Auditor qualification process, material qualification process.",鑒定可涉及到人員、產品、過程或體系。示例：審核員鑒定過程、材料鑒定過程。,fittingness;fitness;making;,ineligibility;eligibility;unfitness;
query,n.問題；疑問；詢問；問號； vt.質疑，對…表示疑問； vi.詢問；表示懷疑； ,"Three query modes: structure query, CAS number query and name query are provided.",目前提供結構檢索，CAS號檢索及名稱檢索三種檢索方式。,enquire;check out;feel out;,obviate;certainty;lower;
questionnaire,n.調查表；調查問卷； ,The administered a self - established goal questionnaire a self - monitoring questionnaire and a task - ego orientation in sport questionnaire.,所使用的研究工具有自設目標問卷、 自我 學習監控表及運動目標取向量表.,personality assessment;personality inventory;form;,sharpness;roundness;crooked;
racism,n.種族主義；種族偏見；種族歧視[隔離，迫害]；人種偏見； ,I abhor all forms of racism.,我憎恨一切形式的種族主義.,favoritism;racial profiling;racialism;,impartiality;advantage;curve;
